range,posture,start,end,
0,Lying,5057356,5058257,
0,Lying,5057356,5058273,
0,Lying,5057356,5058284,
0,Lying,5057356,5058302,
0,Lying,5057356,5058313,
0,Lying,5057356,5058328,
0,Lying,5057356,5058341,
0,Lying,5057356,5058355,
0,Lying,5057356,5058370,
0,Lying,5057356,5058383,
0,Lying,5057356,5058400,
0,Lying,5057356,5058413,
0,Lying,5057356,5058423,
0,Lying,5057356,5058442,
0,Lying,5057356,5058452,
0,Lying,5057356,5058468,
0,Lying,5057356,5058482,
0,Lying,5057356,5058494,
0,Lying,5057356,5058510,
0,Lying,5057356,5058524,
0,Lying,5057356,5058534,
0,Lying,5057356,5058549,
0,Lying,5057356,5058563,
0,Lying,5060700,5060718,
0,Lying,5060700,5060729,
0,Lying,5060700,5060742,
0,Lying,5060700,5060758,
0,Lying,5060700,5060771,
0,Lying,5060700,5060787,
0,Lying,5060700,5060800,
0,Lying,5060700,5060815,
0,Lying,5060700,5060829,
0,Lying,5060700,5060840,
0,Lying,5060700,5060855,
0,Lying,5060700,5060869,
0,Lying,5060700,5060882,
0,Lying,5060700,5060897,
0,Lying,5060700,5060911,
0,Lying,5060700,5060927,
0,Lying,5060700,5060939,
0,Lying,5060700,5060951,
0,Lying,5060700,5060966,
0,Lying,5060700,5060979,
0,Lying,5060700,5060995,
0,Lying,5060700,5061008,
0,Lying,5060700,5061021,
0,Lying,5060700,5061038,
0,Lying,5060700,5061050,
0,Lying,5060700,5061066,
0,Lying,5060700,5061076,
0,Lying,5060700,5061090,
0,Lying,5060700,5061105,
0,Lying,5060700,5061118,
0,Lying,5060700,5061135,
0,Lying,5060700,5061148,
0,Lying,5060700,5061158,
0,Lying,5060700,5061177,
0,Lying,5060700,5061187,
0,Lying,5060700,5061200,
0,Lying,5060700,5061217,
0,Lying,5060700,5061229,
0,Lying,5060700,5061245,
0,Lying,5060700,5061259,
0,Lying,5060700,5061269,
0,Lying,5060700,5061287,
0,Lying,5060700,5061298,
0,Lying,5060700,5061311,
0,Lying,5060700,5061327,
0,Lying,5060700,5061341,
0,Lying,5060700,5061356,
0,Lying,5060700,5061369,
0,Lying,5060700,5061380,
0,Lying,5060700,5061398,
0,Lying,5060700,5061408,
0,Lying,5060700,5061425,
0,Lying,5060700,5061438,
0,Lying,5060700,5061451,
0,Lying,5060700,5061467,
0,Lying,5060700,5061480,
0,Lying,5060700,5061495,
0,Lying,5060700,5061509,
0,Lying,5060700,5061519,
0,Lying,5060700,5061535,
0,Lying,5060700,5061554,
0,Lying,5060700,5061577,
0,Lying,5060700,5061606,
0,Lying,5060700,5061619,
0,Lying,5060700,5061630,
0,Lying,5060700,5061646,
180,Lying,5148258,5148271,
180,Lying,5148258,5148288,
180,Lying,5148258,5148301,
180,Lying,5148258,5148319,
180,Lying,5148258,5148343,
180,Lying,5148258,5148358,
180,Lying,5148258,5148369,
180,Lying,5148258,5148388,
180,Lying,5148258,5148398,
180,Lying,5148258,5148411,
180,Lying,5148258,5148427,
180,Lying,5148258,5148440,
180,Lying,5148258,5148450,
180,Lying,5148258,5148469,
180,Lying,5148258,5148480,
180,Lying,5148258,5148492,
180,Lying,5148258,5148509,
180,Lying,5148258,5148522,
180,Lying,5148258,5148537,
180,Lying,5148258,5148551,
180,Lying,5148258,5148561,
180,Lying,5148258,5148579,
180,Lying,5148258,5148591,
