Direction,Count,Time,TrunkPolar,TrunkAzimuth,TrunkPolar,TrunkAzimuth
135,2,14.59304,4.200122,73.22165,0,0,
135,2,14.62102,5.587362,72.68594,0,0,
135,2,14.6483,8.434297,72.65715,0,0,
135,2,14.6778,10.20862,72.66782,0,0,
135,2,14.70435,13.16713,72.31664,0,0,
135,2,14.73187,16.0561,72.28839,0,0,
135,2,14.76001,18.07442,71.65602,0,0,
135,2,14.78744,21.5191,71.10444,0,0,
135,2,14.81527,23.81905,70.64124,0,0,
135,2,14.84589,26.44074,69.52838,0,0,
135,2,14.87147,28.63013,68.75634,0,0,
135,2,14.89825,30.73383,67.4408,0,0,
135,2,14.92728,32.24388,66.80553,0,0,
135,2,14.95343,33.46659,66.00095,0,0,
135,2,14.98371,34.26528,64.84143,0,0,
135,2,15.00876,34.51923,63.94262,0,0,
135,2,15.03625,35.29488,62.62728,0,0,
135,2,15.06498,34.96342,61.73829,0,0,
135,2,15.0923,35.38712,61.06527,0,0,
135,2,15.12106,35.56163,59.74024,0,0,
135,2,15.1488,35.38289,58.9412,0,0,
135,2,15.17661,35.27595,58.32899,0,0,
135,2,15.20423,34.82322,57.21172,0,0,
135,2,15.23179,34.30884,56.4681,0,0,
135,2,15.25995,33.73732,55.84999,0,0,
135,2,15.28765,33.83492,54.40653,0,0,
135,2,15.31541,33.98315,53.18674,0,0,
135,2,15.34361,33.2402,52.08947,0,0,
135,2,15.37137,32.92705,51.16419,0,0,
135,2,15.39887,33.44992,50.27705,0,0,
135,2,15.4267,33.46107,49.35185,0,0,
135,2,15.45459,33.03281,47.96748,0,0,
135,2,15.48257,32.66159,46.19607,0,0,
135,2,15.50996,31.89673,44.79768,0,0,
135,2,15.53838,31.4845,43.78328,0,0,
135,2,15.56554,31.10356,42.52924,0,0,
135,2,15.59334,29.94164,41.08389,0,0,
135,2,15.62205,28.51963,40.55925,0,0,
135,2,15.6483,27.79909,40.51887,0,0,
135,2,15.67684,27.63713,40.85253,0,0,
135,2,15.70461,27.7752,41.09421,0,0,
135,2,15.73208,28.20724,40.83573,0,0,
135,2,15.76037,28.14015,40.5154,0,0,
135,2,15.78791,28.82672,39.98201,0,0,
135,2,15.81618,29.88197,39.11352,0,0,
135,2,15.84431,30.27883,38.70312,0,0,
135,2,15.87097,31.28847,38.39328,0,0,
135,3,20.0734,0.9575744,69.51035,0,0,
135,3,20.10307,0.8616381,69.48264,0,0,
135,3,20.13198,0.7471197,69.49208,0,0,
135,3,20.1755,0.8716969,69.88744,0,0,
135,3,20.2029,0.3835647,69.72463,0,0,
135,3,20.23087,-0.6752579,69.87762,0,0,
135,3,20.25917,-1.301089,70.23351,0,0,
135,3,20.28757,-1.587566,70.30435,0,0,
135,3,20.31508,-2.096591,70.16694,0,0,
135,3,20.34469,-1.722864,70.03269,0,0,
135,3,20.37044,-2.076143,70.29658,0,0,
135,3,20.39861,-1.87825,70.38098,0,0,
135,3,20.42662,-1.665881,70.34962,0,0,
135,3,20.45468,-2.062728,70.17335,0,0,
135,3,20.48166,-2.079195,69.577,0,0,
135,3,20.50948,-2.533175,68.75065,0,0,
135,3,20.53774,-2.271219,68.17785,0,0,
135,3,20.56537,-2.809195,68.15946,0,0,
135,3,20.59334,-2.3372,68.06307,0,0,
135,3,20.62193,-2.029395,67.74364,0,0,
135,3,20.64816,-1.439483,67.60891,0,0,
135,3,20.67603,0.5648181,67.86046,0,0,
135,3,20.70437,2.112584,67.55664,0,0,
135,3,20.73157,4.247738,67.40125,0,0,
135,3,20.75975,5.116874,67.58035,0,0,
135,3,20.78787,7.113771,67.35464,0,0,
135,3,20.81594,9.469895,66.93933,0,0,
135,3,20.84309,11.63168,66.48252,0,0,
135,3,20.87077,14.07858,66.08286,0,0,
