Direction,tCount,Time,HeadPolar,HeadAzimuth,TrunkPolar,TrunkAzimuth
180,2,34.46609,-51.48582,-3.397167,-17.36852,-1.231335,
180,3,35.25912,2.988391,-2.492322,-5.848038,-0.6155452,
180,3,35.28614,2.404727,-2.451899,-4.815283,-0.9797266,
180,3,35.31463,1.847692,-2.495786,-4.702596,-0.8140322,
180,3,35.34202,1.485239,-2.29358,-4.200301,-0.9482039,
180,3,35.36971,1.272831,-2.106797,-2.541437,-2.510935,
180,3,35.39796,0.9251283,-2.299715,-2.310016,-2.168419,
180,3,35.42767,0.6023202,-2.611568,-2.489956,-1.953268,
180,3,35.45219,0.3252264,-2.470277,-2.830416,-1.551252,
180,3,35.48018,0.0853335,-2.335995,-2.909035,-1.501037,
180,3,35.50802,-0.3815367,-2.199623,-2.232268,-2.068805,
180,3,35.53613,-1.069436,-2.131156,-2.124891,-2.084214,
180,3,35.56398,-2.05058,-1.921286,-2.939604,-1.580769,
180,3,35.59185,-3.589355,-1.731346,-2.770854,-1.834486,
180,3,35.61936,-5.725147,-1.700505,-3.080089,-1.74979,
180,3,35.64744,-8.243334,-1.529203,-3.29791,-1.917082,
180,3,35.67522,-11.68645,-1.225528,-3.502217,-2.116916,
180,3,35.7028,-15.25203,-1.139136,-4.591145,-1.432013,
180,3,35.73051,-18.99637,-1.21609,-5.859113,-1.049445,
180,3,35.75908,-23.06177,-1.341372,-6.632105,-0.8034374,
180,3,35.78661,-26.98666,-1.493349,-6.942951,-1.061392,
180,3,35.8142,-30.81069,-1.558991,-8.011638,-0.9363062,
180,3,35.84231,-34.6164,-1.630255,-8.966144,-0.9015491,
180,3,35.86951,-37.99572,-1.81484,-9.943674,-0.8836343,
180,3,35.89752,-41.01146,-2.049584,-11.05395,-0.779687,
180,3,35.92527,-43.83961,-2.354415,-12.14415,-0.7114655,
180,3,35.9532,-46.54647,-2.683038,-13.23803,-0.6268088,
180,3,35.98079,-49.13839,-2.799716,-14.39542,-0.5692791,
180,3,36.00873,-51.6192,-3.013147,-15.39487,-0.5089913,
315,1,37.92579,1.104952,0.6972741,-6.493176,0.6167521,
